title, description, offer_text, is_online, category, start_date, end_date
Amazon 5% Cashback Offer on SBI Credit Cards,Get amazing amazon cashback offer for SBI credit card holders on our website. Also  check out amazon credit card offer details  terms and conditions today!,Amazon.in,Y,Shopping,2019-04-24,2019-04-24
,,Domestic travel offers at MakeMyTrip,N,Travel,2019-04-18,2019-06-29
,,Flat Rs 600 off on domestic flights at Ixigo,N,Travel,2019-04-18,2019-06-30
,,Enjoy 10% Cashback on your retail transaction,N,Shopping,2019-04-17,2019-05-31
,,MakeMyTrip Offers,N,Travel,2019-04-17,2019-06-30
,,Exclusive Offers in Kerala,N,my-city-offers,2019-04-17,2019-09-30
,,Apollo Pharmacy Discount Offer,N,Lifestyle,2019-04-17,2019-06-30
,,Canon 5% Cashback Offer,N,Shopping,2019-04-12,2019-05-05
,,Baazar Kolkata,N,Shopping,2019-04-12,2020-04-20
,,EaseMyTrip Discount Offer,N,Travel,2019-04-12,2019-05-31
,,V2 Retail Cashback Offer,N,Shopping,2019-04-11,2019-05-31
,,Get 7.5% cashback,N,Shopping,2019-04-09,2019-04-16
,,10% Cashback on  contactless transactions,N,Shopping,2019-04-05,2019-05-19
,,,N,Travel,2019-04-05,2019-04-14
,,,N,Shopping,2019-04-05,2019-05-04
,,Lotus Electronics Cashback Offer,N,Shopping,2019-04-03,2019-05-15
,,Ratnadeep Supermarket Cashback Offer,N,Shopping,2019-04-02,2019-04-10
Flat Rs. 500 off at EazyDiner,Get flat Rs. 500 off at EazyDiner for SBI Corporate Credit Card holders on our website. Also  check out eazydiner.com credit card offer details  terms and conditions today!,Flat Rs. 500 off at eazydiner,N,Travel,2019-01-01,2019-12-31
,,Great Eastern Retail 5% cashback Offer,N,Shopping,2019-04-01,2019-04-30
,,Bosch,N,Shopping,2019-04-01,2019-04-07
15% Instant Discount at Amazon on SBI Credit Cards,Get 15% Instant Discount on Amazon’s Super Value Day Store or Pantry Store with your SBI Credit Cards. Find credit card offer details  terms & conditions today!,15% Instant Discount on Amazon’s Super Value Day Store or Pantry Store,Y,Shopping,2019-04-01,2019-04-03
,,,N,Lifestyle|Dining|Shopping|Travel,2015-02-01,2021-04-30
20% Discount at Zomato on SBI Credit Cards,Get 20% instant discount at Zomato with your SBI Credit Cards. Find credit card offer details  terms & conditions today!,20% Discount at Zomato,Y,Dining,2019-03-08,2019-04-30
,,5% Cashback on Vivo Smartphone,Y,Shopping,2019-03-22,2019-05-12
Get 5% cashback at Hyderabad Duty Free,Get amazing Hyderabad Duty Free offers for SBI credit card holders on our website. Also  check out Hyderabad Duty Free credit card offer details  terms and conditions today!,Get 5% cashback at Hyderabad Duty Free,N,Travel,2018-10-25,2019-03-31
10% Off on Cooling Days at Flipkart on SBI Credit Cards,Get 10% Off on Cooling Days at Flipkart with SBI credit cards. Also  check out credit card offer details  terms & conditions today!,10% Off on Cooling Days at Flipkart,Y,Shopping,2019-02-22,2019-02-24
Best discounts at Thomas Cook!,Get amazing Thomas Cook offers for SBI credit card holders on our website. Also  check out Thomas Cook credit card offer details  terms and conditions today!,Flexible EMI options with your SBI Card at thomascook.in,Y,Travel,2019-02-26,2021-12-31
,,5% Instant Discount Off on Oppo F11 Pro Smartphone,Y,Shopping,2019-03-07,2019-03-15
,,Flexible EMI options with your SBI Card at akbartravels.com,Y,Travel,2019-02-26,2021-12-31
,,5% Cashback On Nearbuy,Y,Shopping,2019-03-15,2019-04-21
,,Upto Rs 3000 Discount at rentomojo,Y,Lifestyle|Shopping,2019-03-14,2019-05-31
,,Zomato 50% discount Offer – Select cities,Y,Dining,2019-03-13,2019-03-31
,,5% Cashback at at ThomasCook through YONO App/website,Y,Travel,2019-03-08,2019-03-17
,,Upto 60% Off on Room Bookings,Y,Travel,2017-07-05,2018-03-31
,,Visa Appetite to Stay,N,Travel,2018-05-11,2018-12-31
Up to Rs. 2500 off at Cheapticket.in,Get amazing Cheapticket offers for SBI corporate credit card holders on our website. Also  check out Cheapticket corporate credit card offer details  terms and conditions today!,Up to Rs. 2500 off at Cheapticket.in,N,Travel,2018-12-03,2019-11-30
,,Get 12% Off at Stamford Hotels & Resorts,Y,Travel,2017-10-30,2018-06-30
,,Upto Rs. 3 000 Off on Flight & Domestic Hotel Booking,N,Travel,2017-10-27,2017-12-31
,,10% discount on your room bookings,Y,Travel,2017-05-25,2018-02-28
,,Get 20% Off on Zoomcar,Y,Travel,2019-01-21,2019-09-30
Priority Pass Standard Membership at Rs 180 on SBI Corporate Card,Get Priority Pass Standard Membership at Rs 180 on Some SBI Corporate Credit Cards. Find more credit card offer details and T&Cs now.,Standard Priority Pass Membership at INR 180,Y,Travel,2017-01-23,2019-12-31
,,Flat 30% Off at OYO Rooms,Y,Travel,2018-04-20,2018-06-30
,,Upto Rs. 3000 Off at Yatra,Y,Travel,2018-04-20,2018-12-31
,,Incredible Offers with Preferred,N,Travel,2018-05-04,2018-12-31
,,Get flat 35% off* at printvenue.com,N,Travel,2017-04-20,2017-12-31
Incredible Offers with Clay Telecom,Get incredible offers with Clay Telecom on SBI Corporate Credit Cards. Also  find Clay Telecom credit card offer details today!,Incredible Offers* with Clay Telecom,N,Travel,2018-02-15,2019-02-14
,,Get 10% Off on Dusit Hotels,N,Travel,2017-10-30,2018-03-31
,,10% OFF on BAR (Best Available Rate) for room bookings,N,Travel,2016-11-03,2017-10-31
,,Pinki Travel,Y,Travel,2018-03-23,2018-12-31
Flat 25% Off at Treebo Hotels on SBI Corporate Cards,Get flat 25% Off on hotel bookings online at Treebo Hotels on some SBI Corporate Credit Cards. Find more credit card offer details and T&Cs now.,Flat 25% Off at Treebo Hotels,N,Travel,2018-05-11,2019-09-29
,,Flat 15% OFF on Food and Beverages,N,Travel,2017-05-25,2018-05-31
,,Get 15% Off at Lemon Tree Hotels,N,Travel,2018-08-30,2018-12-31
,,Matrix Offer,Y,Travel,2017-10-30,2018-10-31
,,Get 8% Off at hotles.com,Y,Travel,2019-01-21,2019-12-31
Avail Access to Visa Airport Lounges on SBI Corporate Credit Cards,Avail access to Visa Airport Lounges with some SBI Corporate Credit Cards on our website. Find more credit card offer details and T&Cs now.,Avail access to Visa Airport lounges,Y,Dining,2015-11-02,2019-09-30
,,Get 10% Off on online room booking at Taj Hotels Places & Resorts,Y,Travel,2018-08-30,2019-03-31
,,Min. 15% Discount on room booking,N,Travel,2017-07-05,2018-12-31
,,10% Off on BAR and 15 % off on dining,Y,Travel,2017-05-25,2018-05-31
,,Incredible Offers* with Clay Telecom,N,,2017-01-23,2017-12-31
,,5% Cashback on Daikin ACs,Y,Shopping,2019-03-07,2019-05-07
,,5% Instant Discount Off on LG V40 Smartphone,Y,Shopping,2019-03-06,2019-03-16
,,5% Cashback at Malabar,N,Shopping,2019-02-15,2019-03-31
My City Offers,Great discounts & offers at select local merchant,My City Offers,N,Shopping|my-city-offers,2018-12-20,2019-03-31
